
======================================================================
FAST MONITOR 600s @ 1000ms
======================================================================

   [  0s] $77,293.19 (---) | 0.01 (---)
   [ 10s] $77,293.19 (---) | 0.01 (---)
   [ 20s] $77,293.19 (---) | 0.01 (---)
   [ 30s] $77,293.19 (---) | 0.00 (---)
   [ 40s] $77,293.19 (---) | 0.00 (---)
   [ 50s] $77,293.19 (---) | 0.00 (---)
   [ 60s] $77,293.19 (---) | 0.00 (---)
   [ 70s] $77,293.19 (---) | 0.00 (---)
   [ 80s] $77,068.54 (---) | 0.00 (---)
   [ 90s] $77,068.54 (---) | 0.00 (---)
   [100s] $77,056.68 (---) | 0.00 (---)
   [110s] $77,056.68 (---) | 0.00 (---)
   [120s] $77,056.68 (---) | 0.00 (---)
   [130s] $77,023.06 (---) | 0.00 (---)
   [140s] $76,984.84 (---) | 0.00 (---)
   [150s] $76,984.84 (---) | 0.00 (---)
   [160s] $76,984.84 (---) | 0.00 (---)
   [170s] $76,984.84 (---) | 0.00 (---)
   [180s] $76,984.84 (---) | 0.00 (---)
   [190s] $76,984.84 (---) | 0.00 (---)
   [200s] $77,184.69 (+0.260%) | 0.00 (---)
   [210s] $77,184.69 (---) | 0.00 (---)
   [220s] $77,196.49 (---) | 0.00 (---)
   [230s] $77,196.49 (---) | 0.00 (---)
   [240s] $77,196.49 (---) | 0.00 (---)
   [250s] $77,196.49 (---) | 0.00 (---)
   [260s] $77,198.46 (+0.045%) | 0.00 (---)
   [270s] $77,198.46 (---) | 0.49 (---)
   [280s] $77,198.46 (---) | 0.49 (---)
   [290s] $77,198.46 (---) | 0.49 (---)
   [300s] $77,198.46 (---) | 0.83 (---)
   [310s] $77,198.46 (---) | 0.83 (---)
   [320s] $77,198.46 (---) | 0.83 (---)
   [330s] $77,198.46 (---) | 0.81 (---)
   [340s] $77,198.46 (---) | 0.81 (---)
   [350s] $77,420.42 (+0.288%) | 0.81 (---)
   [360s] $77,420.42 (---) | 0.81 (---)
   [370s] $77,420.42 (---) | 0.81 (---)
   [380s] $77,420.42 (---) | 0.81 (---)
   [390s] $77,420.42 (---) | 0.68 (---)
   [400s] $77,420.42 (---) | 0.68 (---)
   [410s] $77,420.42 (---) | 0.68 (---)
   [420s] $77,420.42 (---) | 0.66 (---)
   [430s] $77,420.42 (---) | 0.66 (---)
   [440s] $77,420.42 (---) | 0.66 (---)
   [450s] $77,420.42 (---) | 0.54 (---)
   [460s] $77,420.42 (---) | 0.54 (---)
   [470s] $77,420.42 (---) | 0.54 (---)
   [480s] $77,141.07 (---) | 0.51 (---)
   [490s] $77,141.07 (---) | 0.51 (---)
   [500s] $77,141.07 (---) | 0.51 (---)
   [510s] $77,141.07 (---) | 0.49 (---)
   [520s] $77,141.07 (---) | 0.49 (---)
   [530s] $77,141.07 (---) | 0.49 (---)
   [540s] $77,141.07 (---) | 0.56 (---)
   [550s] $77,198.46 (---) | 0.56 (---)
   [560s] $77,198.46 (---) | 0.56 (---)
   [570s] $77,198.46 (---) | 0.58 (---)
   [580s] $77,198.46 (---) | 0.58 (---)
   [590s] $77,198.46 (---) | 0.58 (---)

======================================================================
Signals: 0
